County,CLASS,Number,Gender,LAT,LONG,,,,,,,,,,,,,,
Baringo        ,Class 1,10356,Boys,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Baringo        ,Class 1,9281,Girls,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 1,15313,Girls,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bomet          ,Class 1,16480,Boys,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 1,33985,Boys,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Bungoma        ,Class 1,34329,Girls,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 1,18428,Girls,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Busia          ,Class 1,18613,Boys,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 1,8071,Boys,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 1,7496,Girls,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 1,7148,Girls,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Embu           ,Class 1,7815,Boys,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 1,15781,Boys,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Garissa        ,Class 1,11744,Girls,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 1,21892,Girls,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Homa Bay       ,Class 1,22084,Boys,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 1,2989,Boys,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Isiolo         ,Class 1,2878,Girls,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 1,10588,Girls,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kajiado        ,Class 1,10851,Boys,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 1,39007,Boys,0.403683464,34.744511153,,,,,,,,,,,,,,
Kakamega       ,Class 1,38572,Girls,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 1,14966,Girls,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kericho        ,Class 1,16138,Boys,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 1,19582,Boys,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kiambu         ,Class 1,18751,Girls,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 1,19667,Girls,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kilifi         ,Class 1,21029,Boys,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 1,7057,Boys,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kirinyaga      ,Class 1,6448,Girls,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 1,21503,Girls,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisii          ,Class 1,22266,Boys,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 1,18220,Boys,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kisumu         ,Class 1,17860,Girls,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 1,23200,Girls,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kitui          ,Class 1,24323,Boys,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 1,13915,Boys,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Kwale          ,Class 1,13086,Girls,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 1,6190,Girls,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Laikipia       ,Class 1,6479,Boys,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 1,2267,Boys,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Lamu           ,Class 1,1939,Girls,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Machakos       ,Class 1,17703,Girls,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Machakos       ,Class 1,18818,Boys,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Makueni        ,Class 1,19147,Boys,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
Makueni        ,Class 1,17482,Girls,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
Mandera        ,Class 1,6446,Girls,3.436469488,40.7388101667,,,,,,,,,,,,,,
Mandera        ,Class 1,10761,Boys,3.436469488,40.7388101667,,,,,,,,,,,,,,
Marsabit       ,Class 1,5239,Boys,2.9786587865,37.5695361088,,,,,,,,,,,,,,
Marsabit       ,Class 1,4785,Girls,2.9786587865,37.5695361088,,,,,,,,,,,,,,
Meru           ,Class 1,24044,Girls,0.1667792413,37.7640370542,,,,,,,,,,,,,,
Meru           ,Class 1,24920,Boys,0.1667792413,37.7640370542,,,,,,,,,,,,,,
Migori         ,Class 1,21378,Boys,-0.9895368437,34.3633453076,,,,,,,,,,,,,,
Migori         ,Class 1,21165,Girls,-0.9895368437,34.3633453076,,,,,,,,,,,,,,
Mombasa        ,Class 1,8555,Girls,-4.0212562197,39.6508827026,,,,,,,,,,,,,,
Mombasa        ,Class 1,8517,Boys,-4.0212562197,39.6508827026,,,,,,,,,,,,,,
Muranga        ,Class 1,13073,Boys,-0.8095905365,37.0327225233,,,,,,,,,,,,,,
Muranga        ,Class 1,12029,Girls,-0.8095905365,37.0327225233,,,,,,,,,,,,,,
Nairobi        ,Class 1,30895,Girls,-1.2934134703,36.8681892682,,,,,,,,,,,,,,
Nairobi        ,Class 1,30231,Boys,-1.2934134703,36.8681892682,,,,,,,,,,,,,,
Nakuru         ,Class 1,29052,Boys,-0.4636754317,36.0784790942,,,,,,,,,,,,,,
Nakuru         ,Class 1,27163,Girls,-0.4636754317,36.0784790942,,,,,,,,,,,,,,
Nandi          ,Class 1,15717,Girls,0.1866888869,35.1104876664,,,,,,,,,,,,,,
Nandi          ,Class 1,16667,Boys,0.1866888869,35.1104876664,,,,,,,,,,,,,,
Narok          ,Class 1,19795,Boys,-1.2547903321,35.5763292139,,,,,,,,,,,,,,
Narok          ,Class 1,18075,Girls,-1.2547903321,35.5763292139,,,,,,,,,,,,,,
Nyamira        ,Class 1,10060,Girls,-0.6427324001,34.9646595611,,,,,,,,,,,,,,
Nyamira        ,Class 1,10379,Boys,-0.6427324001,34.9646595611,,,,,,,,,,,,,,
Nyandarua      ,Class 1,9257,Boys,-0.3220778225,36.482869161,,,,,,,,,,,,,,
Nyandarua      ,Class 1,8403,Girls,-0.3220778225,36.482869161,,,,,,,,,,,,,,
Nyeri          ,Class 1,7746,Girls,-0.3429235894,36.9564781346,,,,,,,,,,,,,,
Nyeri          ,Class 1,8631,Boys,-0.3429235894,36.9564781346,,,,,,,,,,,,,,
Samburu        ,Class 1,4524,Boys,1.3168546261,37.118394067,,,,,,,,,,,,,,
Samburu        ,Class 1,3871,Girls,1.3168546261,37.118394067,,,,,,,,,,,,,,
Siaya          ,Class 1,17788,Girls,-0.0621298886,34.2476417045,,,,,,,,,,,,,,
Siaya          ,Class 1,18293,Boys,-0.0621298886,34.2476417045,,,,,,,,,,,,,,
Taita Taveta   ,Class 1,4492,Boys,-3.4347339937,38.4186020033,,,,,,,,,,,,,,
Taita Taveta   ,Class 1,4193,Girls,-3.4347339937,38.4186020033,,,,,,,,,,,,,,
Tana River     ,Class 1,3924,Girls,-1.5263666043,39.4178692029,,,,,,,,,,,,,,
Tana River     ,Class 1,4347,Boys,-1.5263666043,39.4178692029,,,,,,,,,,,,,,
Tharaka-Nithi  ,Class 1,7073,Boys,-0.2070612179,37.8702972709,,,,,,,,,,,,,,
Tharaka-Nithi  ,Class 1,6704,Girls,-0.2070612179,37.8702972709,,,,,,,,,,,,,,
Trans Nzoia    ,Class 1,16225,Girls,1.0509548086,34.9574199775,,,,,,,,,,,,,,
Trans Nzoia    ,Class 1,16326,Boys,1.0509548086,34.9574199775,,,,,,,,,,,,,,
Turkana        ,Class 1,26444,Boys,3.4248491959,35.4357584553,,,,,,,,,,,,,,
Turkana        ,Class 1,22406,Girls,3.4248491959,35.4357584553,,,,,,,,,,,,,,
Uasin Gishu    ,Class 1,12087,Girls,0.5260858915,35.3220116672,,,,,,,,,,,,,,
Uasin Gishu    ,Class 1,12407,Boys,0.5260858915,35.3220116672,,,,,,,,,,,,,,
Vihiga         ,Class 1,12679,Boys,0.0762657959,34.7223230361,,,,,,,,,,,,,,
Vihiga         ,Class 1,12358,Girls,0.0762657959,34.7223230361,,,,,,,,,,,,,,
Wajir          ,Class 1,5475,Girls,1.8081376238,40.0349856396,,,,,,,,,,,,,,
Wajir          ,Class 1,7648,Boys,1.8081376238,40.0349856396,,,,,,,,,,,,,,
West Pokot     ,Class 1,14725,Boys,1.7401061713,35.2438468092,,,,,,,,,,,,,,
Baringo        ,Class 2,9431,Boys,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 2,15837,Boys,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 2,33855,Boys,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 2,17737,Boys,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 2,7664,Boys,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 2,7950,Boys,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 2,14085,Boys,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 2,22183,Boys,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 2,2635,Boys,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 2,10762,Boys,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 2,38554,Boys,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 2,15688,Boys,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 2,19802,Boys,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 2,20031,Boys,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 2,7013,Boys,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 2,21425,Boys,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 2,17512,Boys,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 2,23013,Boys,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 2,12533,Boys,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 2,6468,Boys,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 2,1960,Boys,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Machakos       ,Class 2,18571,Boys,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Makueni        ,Class 2,17621,Boys,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
Mandera        ,Class 2,9625,Boys,3.436469488,40.7388101667,,,,,,,,,,,,,,
Marsabit       ,Class 2,4618,Boys,2.9786587865,37.5695361088,,,,,,,,,,,,,,
Meru           ,Class 2,23079,Boys,0.1667792413,37.7640370542,,,,,,,,,,,,,,
Migori         ,Class 2,21210,Boys,-0.9895368437,34.3633453076,,,,,,,,,,,,,,
Mombasa        ,Class 2,8686,Boys,-4.0212562197,39.6508827026,,,,,,,,,,,,,,
Muranga        ,Class 2,12667,Boys,-0.8095905365,37.0327225233,,,,,,,,,,,,,,
Nairobi        ,Class 2,30329,Boys,-1.2934134703,36.8681892682,,,,,,,,,,,,,,
Nakuru         ,Class 2,28577,Boys,-0.4636754317,36.0784790942,,,,,,,,,,,,,,
Nandi          ,Class 2,16105,Boys,0.1866888869,35.1104876664,,,,,,,,,,,,,,
Narok          ,Class 2,18712,Boys,-1.2547903321,35.5763292139,,,,,,,,,,,,,,
Nyamira        ,Class 2,9746,Boys,-0.6427324001,34.9646595611,,,,,,,,,,,,,,
Nyandarua      ,Class 2,9344,Boys,-0.3220778225,36.482869161,,,,,,,,,,,,,,
Nyeri          ,Class 2,8297,Boys,-0.3429235894,36.9564781346,,,,,,,,,,,,,,
Samburu        ,Class 2,3882,Boys,1.3168546261,37.118394067,,,,,,,,,,,,,,
Siaya          ,Class 2,17424,Boys,-0.0621298886,34.2476417045,,,,,,,,,,,,,,
Taita Taveta   ,Class 2,4415,Boys,-3.4347339937,38.4186020033,,,,,,,,,,,,,,
Tana River     ,Class 2,3612,Boys,-1.5263666043,39.4178692029,,,,,,,,,,,,,,
Tharaka-Nithi  ,Class 2,6341,Boys,-0.2070612179,37.8702972709,,,,,,,,,,,,,,
Trans Nzoia    ,Class 2,16307,Boys,1.0509548086,34.9574199775,,,,,,,,,,,,,,
Turkana        ,Class 2,19951,Boys,3.4248491959,35.4357584553,,,,,,,,,,,,,,
Uasin Gishu    ,Class 2,12558,Boys,0.5260858915,35.3220116672,,,,,,,,,,,,,,
Vihiga         ,Class 2,12286,Boys,0.0762657959,34.7223230361,,,,,,,,,,,,,,
Wajir          ,Class 2,6776,Boys,1.8081376238,40.0349856396,,,,,,,,,,,,,,
West Pokot     ,Class 2,13015,Boys,1.7401061713,35.2438468092,,,,,,,,,,,,,,
Baringo        ,Class 3,9313,Boys,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 3,15648,Boys,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 3,34695,Boys,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 3,17574,Boys,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 3,7519,Boys,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 3,8110,Boys,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 3,11887,Boys,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 3,21831,Boys,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 3,2506,Boys,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 3,10925,Boys,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 3,38719,Boys,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 3,15383,Boys,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 3,20452,Boys,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 3,20257,Boys,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 3,7177,Boys,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 3,21623,Boys,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 3,17614,Boys,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 3,23230,Boys,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 3,12173,Boys,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 3,6568,Boys,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 3,1780,Boys,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Machakos       ,Class 3,18987,Boys,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Makueni        ,Class 3,17434,Boys,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
Mandera        ,Class 3,9154,Boys,3.436469488,40.7388101667,,,,,,,,,,,,,,
Marsabit       ,Class 3,4409,Boys,2.9786587865,37.5695361088,,,,,,,,,,,,,,
Meru           ,Class 3,22840,Boys,0.1667792413,37.7640370542,,,,,,,,,,,,,,
Migori         ,Class 3,21210,Boys,-0.9895368437,34.3633453076,,,,,,,,,,,,,,
Mombasa        ,Class 3,9049,Boys,-4.0212562197,39.6508827026,,,,,,,,,,,,,,
Muranga        ,Class 3,12523,Boys,-0.8095905365,37.0327225233,,,,,,,,,,,,,,
Nairobi        ,Class 3,30921,Boys,-1.2934134703,36.8681892682,,,,,,,,,,,,,,
Nakuru         ,Class 3,28557,Boys,-0.4636754317,36.0784790942,,,,,,,,,,,,,,
Nandi          ,Class 3,15785,Boys,0.1866888869,35.1104876664,,,,,,,,,,,,,,
Narok          ,Class 3,18559,Boys,-1.2547903321,35.5763292139,,,,,,,,,,,,,,
Nyamira        ,Class 3,9754,Boys,-0.6427324001,34.9646595611,,,,,,,,,,,,,,
Nyandarua      ,Class 3,9716,Boys,-0.3220778225,36.482869161,,,,,,,,,,,,,,
Nyeri          ,Class 3,8960,Boys,-0.3429235894,36.9564781346,,,,,,,,,,,,,,
Samburu        ,Class 3,3943,Boys,1.3168546261,37.118394067,,,,,,,,,,,,,,
Siaya          ,Class 3,17231,Boys,-0.0621298886,34.2476417045,,,,,,,,,,,,,,
Taita Taveta   ,Class 3,4414,Boys,-3.4347339937,38.4186020033,,,,,,,,,,,,,,
Tana River     ,Class 3,3721,Boys,-1.5263666043,39.4178692029,,,,,,,,,,,,,,
Tharaka-Nithi  ,Class 3,6464,Boys,-0.2070612179,37.8702972709,,,,,,,,,,,,,,
Trans Nzoia    ,Class 3,16223,Boys,1.0509548086,34.9574199775,,,,,,,,,,,,,,
Turkana        ,Class 3,17556,Boys,3.4248491959,35.4357584553,,,,,,,,,,,,,,
Uasin Gishu    ,Class 3,12506,Boys,0.5260858915,35.3220116672,,,,,,,,,,,,,,
Vihiga         ,Class 3,11761,Boys,0.0762657959,34.7223230361,,,,,,,,,,,,,,
Wajir          ,Class 3,6034,Boys,1.8081376238,40.0349856396,,,,,,,,,,,,,,
West Pokot     ,Class 3,11785,Boys,1.7401061713,35.2438468092,,,,,,,,,,,,,,
Baringo        ,Class 4,10201,Boys,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 4,15747,Boys,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 4,34749,Boys,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 4,17235,Boys,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 4,7856,Boys,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 4,8352,Boys,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 4,8679,Boys,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 4,22171,Boys,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 4,2298,Boys,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 4,11492,Boys,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 4,37948,Boys,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 4,15612,Boys,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 4,21709,Boys,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 4,21199,Boys,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 4,7722,Boys,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 4,21983,Boys,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 4,17464,Boys,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 4,23981,Boys,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 4,12017,Boys,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 4,6593,Boys,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 4,1912,Boys,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Machakos       ,Class 4,20201,Boys,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Makueni        ,Class 4,19591,Boys,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
