County,CLASS,Number,Gender,LAT,LONG,,,,,,,,,,,,,,
West Pokot     ,Class 1,13864,Girls,1.7401061713,35.2438468092,,,,,,,,,,,,,,
Baringo        ,Class 2,8555,Girls,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 2,14553,Girls,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 2,34135,Girls,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 2,17653,Girls,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 2,7255,Girls,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 2,7119,Girls,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 2,9917,Girls,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 2,21700,Girls,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 2,2482,Girls,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 2,10285,Girls,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 2,38121,Girls,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 2,14785,Girls,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 2,19282,Girls,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 2,19788,Girls,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 2,6628,Girls,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 2,20925,Girls,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 2,17638,Girls,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 2,21412,Girls,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 2,11893,Girls,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 2,6183,Girls,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 2,1751,Girls,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Machakos       ,Class 2,16904,Girls,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Makueni        ,Class 2,16319,Girls,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
Mandera        ,Class 2,5762,Girls,3.436469488,40.7388101667,,,,,,,,,,,,,,
Marsabit       ,Class 2,4313,Girls,2.9786587865,37.5695361088,,,,,,,,,,,,,,
Meru           ,Class 2,22459,Girls,0.1667792413,37.7640370542,,,,,,,,,,,,,,
Migori         ,Class 2,21292,Girls,-0.9895368437,34.3633453076,,,,,,,,,,,,,,
Mombasa        ,Class 2,8767,Girls,-4.0212562197,39.6508827026,,,,,,,,,,,,,,
Muranga        ,Class 2,11758,Girls,-0.8095905365,37.0327225233,,,,,,,,,,,,,,
Nairobi        ,Class 2,30730,Girls,-1.2934134703,36.8681892682,,,,,,,,,,,,,,
Nakuru         ,Class 2,27396,Girls,-0.4636754317,36.0784790942,,,,,,,,,,,,,,
Nandi          ,Class 2,15334,Girls,0.1866888869,35.1104876664,,,,,,,,,,,,,,
Narok          ,Class 2,17002,Girls,-1.2547903321,35.5763292139,,,,,,,,,,,,,,
Nyamira        ,Class 2,9693,Girls,-0.6427324001,34.9646595611,,,,,,,,,,,,,,
Nyandarua      ,Class 2,8768,Girls,-0.3220778225,36.482869161,,,,,,,,,,,,,,
Nyeri          ,Class 2,8110,Girls,-0.3429235894,36.9564781346,,,,,,,,,,,,,,
Samburu        ,Class 2,3436,Girls,1.3168546261,37.118394067,,,,,,,,,,,,,,
Siaya          ,Class 2,17157,Girls,-0.0621298886,34.2476417045,,,,,,,,,,,,,,
Taita Taveta   ,Class 2,4067,Girls,-3.4347339937,38.4186020033,,,,,,,,,,,,,,
Tana River     ,Class 2,3480,Girls,-1.5263666043,39.4178692029,,,,,,,,,,,,,,
Tharaka-Nithi  ,Class 2,6073,Girls,-0.2070612179,37.8702972709,,,,,,,,,,,,,,
Trans Nzoia    ,Class 2,16108,Girls,1.0509548086,34.9574199775,,,,,,,,,,,,,,
Turkana        ,Class 2,16667,Girls,3.4248491959,35.4357584553,,,,,,,,,,,,,,
Uasin Gishu    ,Class 2,12171,Girls,0.5260858915,35.3220116672,,,,,,,,,,,,,,
Vihiga         ,Class 2,11816,Girls,0.0762657959,34.7223230361,,,,,,,,,,,,,,
Wajir          ,Class 2,4744,Girls,1.8081376238,40.0349856396,,,,,,,,,,,,,,
West Pokot     ,Class 2,12467,Girls,1.7401061713,35.2438468092,,,,,,,,,,,,,,
Baringo        ,Class 3,8681,Girls,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 3,14780,Girls,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 3,34414,Girls,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 3,17200,Girls,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 3,7233,Girls,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 3,7487,Girls,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 3,7837,Girls,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 3,21946,Girls,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 3,2430,Girls,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 3,10635,Girls,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 3,37398,Girls,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 3,14579,Girls,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 3,19882,Girls,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 3,19681,Girls,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 3,6792,Girls,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 3,20643,Girls,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 3,17256,Girls,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 3,21133,Girls,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 3,11531,Girls,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 3,6299,Girls,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 3,1806,Girls,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Machakos       ,Class 3,17112,Girls,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Makueni        ,Class 3,16206,Girls,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
Mandera        ,Class 3,5395,Girls,3.436469488,40.7388101667,,,,,,,,,,,,,,
Marsabit       ,Class 3,3955,Girls,2.9786587865,37.5695361088,,,,,,,,,,,,,,
Meru           ,Class 3,21856,Girls,0.1667792413,37.7640370542,,,,,,,,,,,,,,
Migori         ,Class 3,20826,Girls,-0.9895368437,34.3633453076,,,,,,,,,,,,,,
Mombasa        ,Class 3,8828,Girls,-4.0212562197,39.6508827026,,,,,,,,,,,,,,
Muranga        ,Class 3,11960,Girls,-0.8095905365,37.0327225233,,,,,,,,,,,,,,
Nairobi        ,Class 3,31920,Girls,-1.2934134703,36.8681892682,,,,,,,,,,,,,,
Nakuru         ,Class 3,27469,Girls,-0.4636754317,36.0784790942,,,,,,,,,,,,,,
Nandi          ,Class 3,14972,Girls,0.1866888869,35.1104876664,,,,,,,,,,,,,,
Narok          ,Class 3,17003,Girls,-1.2547903321,35.5763292139,,,,,,,,,,,,,,
Nyamira        ,Class 3,9523,Girls,-0.6427324001,34.9646595611,,,,,,,,,,,,,,
Nyandarua      ,Class 3,9258,Girls,-0.3220778225,36.482869161,,,,,,,,,,,,,,
Nyeri          ,Class 3,8187,Girls,-0.3429235894,36.9564781346,,,,,,,,,,,,,,
Samburu        ,Class 3,3486,Girls,1.3168546261,37.118394067,,,,,,,,,,,,,,
Siaya          ,Class 3,16705,Girls,-0.0621298886,34.2476417045,,,,,,,,,,,,,,
Taita Taveta   ,Class 3,4223,Girls,-3.4347339937,38.4186020033,,,,,,,,,,,,,,
Tana River     ,Class 3,3192,Girls,-1.5263666043,39.4178692029,,,,,,,,,,,,,,
Tharaka-Nithi  ,Class 3,6264,Girls,-0.2070612179,37.8702972709,,,,,,,,,,,,,,
Trans Nzoia    ,Class 3,16038,Girls,1.0509548086,34.9574199775,,,,,,,,,,,,,,
Turkana        ,Class 3,14144,Girls,3.4248491959,35.4357584553,,,,,,,,,,,,,,
Uasin Gishu    ,Class 3,12148,Girls,0.5260858915,35.3220116672,,,,,,,,,,,,,,
Vihiga         ,Class 3,11657,Girls,0.0762657959,34.7223230361,,,,,,,,,,,,,,
Wajir          ,Class 3,4283,Girls,1.8081376238,40.0349856396,,,,,,,,,,,,,,
West Pokot     ,Class 3,11435,Girls,1.7401061713,35.2438468092,,,,,,,,,,,,,,
Baringo        ,Class 4,9551,Girls,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 4,14865,Girls,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 4,35206,Girls,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 4,17729,Girls,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 4,7698,Girls,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 4,7874,Girls,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 4,5133,Girls,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 4,21706,Girls,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 4,2398,Girls,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 4,10916,Girls,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 4,38537,Girls,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 4,15059,Girls,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 4,20866,Girls,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 4,20701,Girls,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 4,7680,Girls,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 4,21650,Girls,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 4,17817,Girls,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 4,22531,Girls,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 4,11796,Girls,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 4,6163,Girls,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 4,1762,Girls,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Machakos       ,Class 4,18527,Girls,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Makueni        ,Class 4,18017,Girls,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
Mandera        ,Class 4,4560,Girls,3.436469488,40.7388101667,,,,,,,,,,,,,,
Marsabit       ,Class 4,4071,Girls,2.9786587865,37.5695361088,,,,,,,,,,,,,,
Meru           ,Class 4,22508,Girls,0.1667792413,37.7640370542,,,,,,,,,,,,,,
Migori         ,Class 4,21021,Girls,-0.9895368437,34.3633453076,,,,,,,,,,,,,,
Mombasa        ,Class 4,9030,Girls,-4.0212562197,39.6508827026,,,,,,,,,,,,,,
Muranga        ,Class 4,13025,Girls,-0.8095905365,37.0327225233,,,,,,,,,,,,,,
Nairobi        ,Class 4,32234,Girls,-1.2934134703,36.8681892682,,,,,,,,,,,,,,
Nakuru         ,Class 4,28338,Girls,-0.4636754317,36.0784790942,,,,,,,,,,,,,,
Nandi          ,Class 4,15912,Girls,0.1866888869,35.1104876664,,,,,,,,,,,,,,
Narok          ,Class 4,17080,Girls,-1.2547903321,35.5763292139,,,,,,,,,,,,,,
Nyamira        ,Class 4,10436,Girls,-0.6427324001,34.9646595611,,,,,,,,,,,,,,
Nyandarua      ,Class 4,9615,Girls,-0.3220778225,36.482869161,,,,,,,,,,,,,,
Nyeri          ,Class 4,8727,Girls,-0.3429235894,36.9564781346,,,,,,,,,,,,,,
Samburu        ,Class 4,3000,Girls,1.3168546261,37.118394067,,,,,,,,,,,,,,
Siaya          ,Class 4,17286,Girls,-0.0621298886,34.2476417045,,,,,,,,,,,,,,
Taita Taveta   ,Class 4,4291,Girls,-3.4347339937,38.4186020033,,,,,,,,,,,,,,
Tana River     ,Class 4,3218,Girls,-1.5263666043,39.4178692029,,,,,,,,,,,,,,
Tharaka-Nithi  ,Class 4,6846,Girls,-0.2070612179,37.8702972709,,,,,,,,,,,,,,
Trans Nzoia    ,Class 4,16343,Girls,1.0509548086,34.9574199775,,,,,,,,,,,,,,
Turkana        ,Class 4,11337,Girls,3.4248491959,35.4357584553,,,,,,,,,,,,,,
Uasin Gishu    ,Class 4,12801,Girls,0.5260858915,35.3220116672,,,,,,,,,,,,,,
Vihiga         ,Class 4,11980,Girls,0.0762657959,34.7223230361,,,,,,,,,,,,,,
Wajir          ,Class 4,3365,Girls,1.8081376238,40.0349856396,,,,,,,,,,,,,,
West Pokot     ,Class 4,10474,Girls,1.7401061713,35.2438468092,,,,,,,,,,,,,,
Baringo        ,Class 5,9188,Girls,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 5,14557,Girls,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 5,34410,Girls,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 5,17150,Girls,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 5,7583,Girls,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 5,8042,Girls,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 5,4389,Girls,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 5,20957,Girls,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 5,2234,Girls,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 5,9972,Girls,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 5,37039,Girls,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 5,14724,Girls,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 5,20867,Girls,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 5,20400,Girls,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 5,7876,Girls,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 5,21124,Girls,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 5,17063,Girls,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 5,21945,Girls,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 5,11104,Girls,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 5,6268,Girls,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 5,1762,Girls,-2.0786825436,40.882860682,,,,,,,,,,,,,,
Machakos       ,Class 5,18131,Girls,-1.2795123066,37.4126760329,,,,,,,,,,,,,,
Makueni        ,Class 5,18135,Girls,-2.1576841001,37.7882455725,,,,,,,,,,,,,,
Mandera        ,Class 5,3832,Girls,3.436469488,40.7388101667,,,,,,,,,,,,,,
Marsabit       ,Class 5,3393,Girls,2.9786587865,37.5695361088,,,,,,,,,,,,,,
Meru           ,Class 5,21458,Girls,0.1667792413,37.7640370542,,,,,,,,,,,,,,
Migori         ,Class 5,20154,Girls,-0.9895368437,34.3633453076,,,,,,,,,,,,,,
Mombasa        ,Class 5,8946,Girls,-4.0212562197,39.6508827026,,,,,,,,,,,,,,
Muranga        ,Class 5,13383,Girls,-0.8095905365,37.0327225233,,,,,,,,,,,,,,
Nairobi        ,Class 5,30775,Girls,-1.2934134703,36.8681892682,,,,,,,,,,,,,,
Nakuru         ,Class 5,27485,Girls,-0.4636754317,36.0784790942,,,,,,,,,,,,,,
Nandi          ,Class 5,15086,Girls,0.1866888869,35.1104876664,,,,,,,,,,,,,,
Narok          ,Class 5,15565,Girls,-1.2547903321,35.5763292139,,,,,,,,,,,,,,
Nyamira        ,Class 5,10038,Girls,-0.6427324001,34.9646595611,,,,,,,,,,,,,,
Nyandarua      ,Class 5,9947,Girls,-0.3220778225,36.482869161,,,,,,,,,,,,,,
Nyeri          ,Class 5,9139,Girls,-0.3429235894,36.9564781346,,,,,,,,,,,,,,
Samburu        ,Class 5,2479,Girls,1.3168546261,37.118394067,,,,,,,,,,,,,,
Siaya          ,Class 5,16742,Girls,-0.0621298886,34.2476417045,,,,,,,,,,,,,,
Taita Taveta   ,Class 5,4288,Girls,-3.4347339937,38.4186020033,,,,,,,,,,,,,,
Tana River     ,Class 5,2944,Girls,-1.5263666043,39.4178692029,,,,,,,,,,,,,,
Tharaka-Nithi  ,Class 5,6854,Girls,-0.2070612179,37.8702972709,,,,,,,,,,,,,,
Trans Nzoia    ,Class 5,15691,Girls,1.0509548086,34.9574199775,,,,,,,,,,,,,,
Turkana        ,Class 5,8502,Girls,3.4248491959,35.4357584553,,,,,,,,,,,,,,
Uasin Gishu    ,Class 5,12917,Girls,0.5260858915,35.3220116672,,,,,,,,,,,,,,
Vihiga         ,Class 5,11588,Girls,0.0762657959,34.7223230361,,,,,,,,,,,,,,
Wajir          ,Class 5,2811,Girls,1.8081376238,40.0349856396,,,,,,,,,,,,,,
West Pokot     ,Class 5,9226,Girls,1.7401061713,35.2438468092,,,,,,,,,,,,,,
Baringo        ,Class 6,9424,Girls,0.6692519803,35.9464653527,,,,,,,,,,,,,,
Bomet          ,Class 6,14657,Girls,-0.7262945834,35.2985975867,,,,,,,,,,,,,,
Bungoma        ,Class 6,34546,Girls,0.7492852396,34.6404608756,,,,,,,,,,,,,,
Busia          ,Class 6,16481,Girls,0.3874436775,34.1936314884,,,,,,,,,,,,,,
Elgeyo Marakwet,Class 6,8228,Girls,0.8022188109,35.5365631474,,,,,,,,,,,,,,
Embu           ,Class 6,8518,Girls,-0.6039743776,37.6265013265,,,,,,,,,,,,,,
Garissa        ,Class 6,4030,Girls,-0.4889103448,40.1992785378,,,,,,,,,,,,,,
Homa Bay       ,Class 6,20481,Girls,-0.5428093942,34.3589968687,,,,,,,,,,,,,,
Isiolo         ,Class 6,2038,Girls,1.0104430775,38.5421531206,,,,,,,,,,,,,,
Kajiado        ,Class 6,9908,Girls,-2.1213835779,36.908842193,,,,,,,,,,,,,,
Kakamega       ,Class 6,36779,Girls,0.403683464,34.744511153,,,,,,,,,,,,,,
Kericho        ,Class 6,14445,Girls,-0.295732906,35.3140700086,,,,,,,,,,,,,,
Kiambu         ,Class 6,21049,Girls,-1.068706066,36.8235642579,,,,,,,,,,,,,,
Kilifi         ,Class 6,19766,Girls,-3.1757320132,39.6866875507,,,,,,,,,,,,,,
Kirinyaga      ,Class 6,8101,Girls,-0.5247462962,37.3198681093,,,,,,,,,,,,,,
Kisii          ,Class 6,20289,Girls,-0.7746037572,34.7747229835,,,,,,,,,,,,,,
Kisumu         ,Class 6,16708,Girls,-0.1694586948,34.835203466,,,,,,,,,,,,,,
Kitui          ,Class 6,21592,Girls,-1.4910385308,38.4069210158,,,,,,,,,,,,,,
Kwale          ,Class 6,10754,Girls,-4.1831495272,39.1904119005,,,,,,,,,,,,,,
Laikipia       ,Class 6,6065,Girls,0.3236041225,36.7717278588,,,,,,,,,,,,,,
Lamu           ,Class 6,1615,Girls,-2.0786825436,40.882860682,,,,,,,,,,,,,,
